,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2019-03-05,Poor,Moderate,Satisfactory,Moderate,Poor,Moderate,Moderate,Poor,Satisfactory,Satisfactory,,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,,,,,,,
2019-03-06,Severe,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,,,,,,,
2019-03-07,Severe,Moderate,Moderate,Poor,Poor,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Poor,Moderate,,,,,,,
2019-03-08,Severe,Moderate,Satisfactory,Poor,Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,,Moderate,Poor,,,,,,,
2019-03-09,Severe,Moderate,Satisfactory,Moderate,Poor,Moderate,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,,Moderate,Poor,,,,,,,
2019-03-10,Poor,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Very Poor,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Poor,,Moderate,Very Poor,,,,,,,
2019-03-11,Very Poor,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Satisfactory,Poor,Moderate,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Moderate,,Moderate,Poor,,,,,,,
2019-03-12,Severe,Moderate,Satisfactory,Moderate,Poor,Moderate,Satisfactory,Poor,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Poor,,Moderate,Very Poor,,,,,,,
2019-03-13,Severe,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Moderate,,Moderate,Poor,,,,,,,
2019-03-14,Poor,Moderate,Moderate,Poor,Poor,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,,Moderate,Very Poor,,,,,,,
