Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-10-02,23.89,33.15333333333333,39.12,10.73,9.43,6.3,14.080000000000002,69.51,2.23,
2017-10-03,23.95,32.06166666666666,31.36,6.59,9.53,0.24,14.540000000000004,76.06,2.5,
2017-10-04,23.88,30.97,39.43,9.52,11.28,0.21,15.0,87.28,2.84,
2017-10-05,24.02,39.69,37.22,7.47,12.98,0.19,15.79,64.25,3.13,
2017-10-06,24.05,59.7,31.48,6.51,10.26,0.24,15.54,72.01,2.73,
2017-10-07,25.33,40.7,35.37,6.7,12.27,0.19,28.65,67.27,2.65,
2017-10-08,26.27,49.16,41.02,8.45,8.02,0.2,51.58,62.2,3.06,
2017-10-09,26.53,64.61,50.93,8.47,9.24,0.16,51.42,64.8,3.15,
2017-10-10,26.4,96.85,56.42,7.19,8.55,0.18,44.32,67.66,3.22,
2017-10-11,26.24,102.21,64.21,7.55,9.16,0.24,45.79,56.05,2.87,
2017-10-12,26.64,126.82,44.32,10.09,9.37,0.22,36.98,38.2,2.38,
2017-10-13,26.23,84.53,45.28,6.28,8.93,0.22,43.69,43.96,2.53,
2017-10-14,26.16,104.29,55.52,5.27,12.38,0.18,41.55,42.12,1.73,
2017-10-15,26.03,82.02,44.61,3.6,11.88,0.2,45.62,35.78,2.27,
2017-10-16,26.29,82.05,51.88,2.8,9.97,0.22,47.31,24.51,2.78,
2017-10-17,26.83,86.07,42.92,4.5,18.24,0.22,47.38,31.18,2.58,
2017-10-18,26.76,66.11,44.57,13.23,12.5,0.23,48.08,32.79,2.41,
2017-10-19,26.71,101.96,50.7,37.12,11.56,0.29,51.89,23.48,2.34,
2017-10-20,26.81,108.72,48.79,37.6,11.43,0.28,60.89,27.17,2.35,
2017-10-21,26.51,98.49,50.8,40.06,10.7,0.29,48.33,28.19,2.77,
2017-10-22,26.26,94.26,45.72,31.47,10.52,0.18,50.88,26.41,2.64,
2017-10-23,26.38,68.64,48.44,25.43,12.09,0.21,54.25,25.33,4.33,
2017-10-24,26.59,113.77,53.82,27.82,14.58,0.16,56.56,25.34,4.13,
2017-10-25,26.4,83.43,55.14,23.24,13.04,0.23,67.83,30.4,3.53,
2017-10-26,26.39,98.61,61.45,19.03,10.82,0.19,62.82,23.22,3.32,
2017-10-27,26.4,105.51,48.68,22.42,11.84,0.12,62.45,28.25,4.74,
2017-10-28,26.62,157.52,51.2,20.45,14.51,0.17,66.54,36.73,5.19,
2017-10-29,26.6,296.43,50.6,29.86,14.16,0.13,67.53,24.28,5.17,
2017-10-30,26.61,228.18,52.67,21.02,13.55,0.08,67.76,22.19,5.08,
2017-10-31,26.65,142.64,64.28,17.79,14.57,0.12,70.6,31.9,4.06,
2017-11-01,26.39,127.915,47.36,27.52,14.02,0.15,66.67,53.7,4.15,
2017-11-02,26.14,113.19,49.88,31.08,15.88,0.13,62.85,51.83,4.36,
2017-11-03,26.64,226.97,53.2,33.57,16.61,0.11,62.9,33.91,4.86,
2017-11-04,26.61,138.93,52.75,33.37,16.9,0.11,68.55,26.11,4.21,
2017-11-05,26.44,104.46,61.8,36.48,13.16,0.11,12.81,20.93,4.03,
2017-11-06,26.93,115.22,65.81,35.47,11.21,0.12,28.02,30.81,4.04,
2017-11-07,26.82,109.71,91.87,38.07,13.12,0.62,26.67,35.99,4.0,
2017-11-08,26.82,115.62,82.96,41.97,14.87,0.77,30.33,31.34,4.06,
2017-11-09,26.77,173.56,74.84,51.92,12.97,1.17,34.51,44.81,4.03,
2017-11-10,25.71,301.18,84.1,42.02,14.36,1.04,33.64,52.68,3.8,
2017-11-11,26.5,247.22,90.64,34.8,16.04,1.11,42.69,47.41,4.18,
2017-11-12,26.38,125.17,73.63,34.76,15.71,0.625,32.33,48.5,6.27,
2017-11-13,26.54,138.19,73.85,55.7,16.47,0.14,22.98,35.31,5.93,
2017-11-14,26.59,153.74,55.71,77.23,19.2,1.38,14.01,12.62,6.2,
2017-11-15,26.72,134.43,48.83,44.19,22.73,3.82,15.25,11.45,6.47,
2017-11-16,26.88,144.9,50.06,36.71,22.81,1.39,12.81,15.28,4.84,
2017-11-17,26.65,154.41,45.56,44.11,15.71,1.13,11.88,17.67,4.17,
2017-11-18,26.87,138.02,38.55,40.6,13.28,1.49,12.53,17.21,3.82,
2017-11-19,26.56,323.48,34.83,55.39,15.87,1.72,10.81,20.74,3.68,
2017-11-20,26.43,264.99,36.28,52.54,14.27,7.27,11.28,19.01,4.08,
2017-11-21,26.4,301.28,40.58,55.5,15.12,2.41,14.86,19.82,5.17,
2017-11-22,26.84,245.08,40.37,55.77,13.03,2.19,13.14,14.82,4.46,
2017-11-23,27.21,235.51,40.03,58.61,14.6,13.3,13.34,19.37,4.85,
2017-11-24,26.78,328.89,44.62,59.47,18.59,8.59,12.55,23.57,5.1,12.19
2017-11-25,,222.46,47.81,64.29,16.11,9.98,10.58,35.65,5.07,10.72
2017-11-26,,297.64,63.81,58.07,20.0,10.32,9.65,31.12,5.5,10.28
2017-11-27,,233.86,52.5,57.76,16.73,10.87,14.69,35.43,5.43,12.91
2017-11-28,,214.16,60.94,67.52,14.78,11.96,15.91,37.39,4.63,11.42
2017-11-29,,283.1,83.31,96.77,13.66,9.56,12.51,34.77,4.19,12.25
2017-11-30,,303.53,77.53,66.11,13.13,10.89,9.54,25.21,4.77,10.95
2017-12-01,,248.09,65.47,65.03,16.99,10.89,8.46,22.96,4.23,10.95
2017-12-02,,143.57,92.4,54.55,16.25,11.75,6.57,19.24,3.99,13.12
2017-12-03,,285.55,85.25,55.3,13.39,11.2,3.21,21.93,3.64,14.36
2017-12-04,,292.52,90.28,53.82,14.3,12.19,2.19,24.0,3.81,14.41
2017-12-05,,280.86,71.16,49.47,13.51,13.31,1.0,34.5,6.323333333333333,13.72
2017-12-06,25.89,193.71,45.92,48.53,13.05,13.61,21.74,20.59,8.836666666666666,15.12
2017-12-07,37.81,175.89,36.04,45.96,14.4,20.2,9.95,18.73,11.35,17.34
2017-12-08,68.36,138.62,41.49,47.28,15.55,12.06,3.11,14.8,11.16,17.96
2017-12-09,30.02,139.26,57.73,49.98,14.5,11.12,2.67,16.35,12.28,15.73
2017-12-10,42.43,166.28,77.11,50.87,11.86,13.01,2.49,14.88,10.85,12.56
2017-12-11,37.61,161.75,86.87,49.74,12.57,15.85,3.09,22.44,8.9,15.2
2017-12-12,54.97,132.96,50.54,50.39,16.12,17.37,1.73,28.54,7.31,21.24
2017-12-13,87.2,102.84,48.27,51.16,20.13,15.23,0.5,21.95,7.4,17.63
2017-12-14,56.03,149.76,46.26,55.73,18.6,14.84,0.57,18.2,8.03,19.34
2017-12-15,28.03,244.64,42.56,52.78,18.09,13.13,0.06,16.75,8.01,16.0
2017-12-16,37.28,208.34,39.74,50.33,15.3,12.29,0.08,13.65,7.14,15.56
