Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Jaipur,Thiruvananthapuram
29-01-2018,4.17,8.17,12.61,9.83,8.69,31.86,18.37,6.18
30-01-2018,3.89,11.98,14.47,7.78,16.9,35.29,17.4,4.95
31-01-2018,4.07,17.29,11.35,8.44,20.33,37.73,13.34,7.95
01-02-2018,5.01,14.37,18.67,8.27,22.37,33.66,10.94,5.4
02-02-2018,4.38,8.5,12.25,9.1,16.85,37.48,11.35,6.28
03-02-2018,6.48,6.93,14.2,12.83,9.51,39.67,21.12,8.15
04-02-2018,12.74,5.65,13.2,9.75,9.46,34.47,16.14,7.65
05-02-2018,3.37,6.64,14.77,10.79,8.16,34.57,14.37,7.87
06-02-2018,3.52,8.16,14.94,11.05,9.68,36.39,20.56,7.27
07-02-2018,3.22,6.16,14.58,9.24,13.6,36.33,17.89,4.22
08-02-2018,4.2,6.61,13.8,12.08,13.52,28.47,12.54,5.42
09-02-2018,4.36,5.6,14.35,14.02,13.92,37.08,12.96,6.25
10-02-2018,6.63,6.64,13.77,13.01,13.07,39.86,11.43,3.92
11-02-2018,3.42,6.47,14.45,13.29,8.55,38.42,11.92,4.78
12-02-2018,2.99,5.97,8.58,12.54,6.61,32.37,10.6,27.65
13-02-2018,1.84,7.42,10.25,12.22,6.53,36.21,9,6.77
14-02-2018,1.61,7.06,9.03,10.56,8.3,30.96,9.26,6.77
15-02-2018,1.47,11.88,11.47,13.72,12.88,37.8,12.55,5.26
16-02-2018,2.79,9.95,12.49,15.47,17.02,33.92,10.87,4.7
17-02-2018,8.54,7.69,15.01,15.7,20.36,35.52,14.71,7.58
18-02-2018,5.69,8.49,12.17,15.42,10.27,54.87,9.36,7.27
19-02-2018,4.22,9.71,15.25,15.91,7.39,50.76,12.98,7.37
20-02-2018,3.15,9.94,14.53,19.75,6.36,42.64,7.55,7.71
21-02-2018,3.36,10.16,13.97,19.24,7.37,39.32,10.72,6.9
22-02-2018,3.19,10.97,15.89,20.89,8.69,38.02,10.53,9.69
23-02-2018,2.94,8.95,16.26,21.32,8.18,38.49,9.91,8.05
24-02-2018,2.35,9.72,15.09,21.7,8.22,37.43,17.05,8.96
25-02-2018,2.34,12.04,14.34,14.64,7.54,38.53,8.32,8.775
