Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Jaipur,Thiruvananthapuram
02-12-2017,8.64,8.33,80.33,54.29,7.02,62.58,26.52,6.08,23.26,2.02
03-12-2017,13.43,9.93,67.41,44.37,7.22,21.78,17.65,1.3,30.36,1.98
04-12-2017,13.35,8.57,74.66,29.32,6.46,25.96,12.7,6.35,18.38,2.04
05-12-2017,12.38,9.81,61.13,17.21,6.29,32.13,7.53,19.59,18.1,2.053333333
06-12-2017,12,9.12,23.19,12.01,6,31.09,10.38,18.76,7.3,2.066666667
07-12-2017,15.06,7.54,24.67,11.68,7.77,18.02,9.46,6.82,15.21,2.08
08-12-2017,28,8.84,23.86,12.51,2.82,23.4,10.19,3.86,16.03,1.92
09-12-2017,21.48,11.23,60.14,54.19,3.04,136.74,9.49,10.14,24.49,1.87
10-12-2017,17.62,14.24,102,55.31,4.44,112.77,9.51,16.77,10.58,2.04
11-12-2017,8.19,8.6,97.35,36.96,8.39,110.69,10.92,8.91,5.95,1.97
12-12-2017,7.87,15.54,22.41,50.36,12.01,42.92,24.26,21.61,9.45,1.9
13-12-2017,10.44,10.48,20.14,11.72,7.91,28.12,13.16,37.79,8.86,2.05
14-12-2017,16.43,16.43,19.4,8.44,2.4,27.74,12.84,1.73,6.87,1.97
15-12-2017,42.05,8.39,20.33,8.01,3.5,25.41,10.54,6.82,8.16,1.95
16-12-2017,12.88,8.19,17.77,7.63,7.78,24.17,10.66,37.77,7.24,2.27
17-12-2017,12.25,6.93,17.4,15.04,8.44,17.91,9.74,23.36,11.36,1.99
18-12-2017,13.94,7.49,20.4,14.63,3.67,63.88,8.82,18.69,7.31,2.05
19-12-2017,10.01,6.46,35.44,68.28,8.22,40.76,9.78,4.86,15.53,2.15
20-12-2017,11.34,7.25,44.05,113.36,16.01,61.65,10.22,10.25,18.21,2.19
21-12-2017,10.59,10.07,32.3,42.66,18.07,12.63,10.64,4.24,14.66,2.24
22-12-2017,11.41,13.71,22.11,9.61,21.37,30.41,10.26,29.44,8.78,2.24
23-12-2017,10.11,12.3,31.51,27.36,10.07,70.66,10.17,27.63,56.27,2.27
24-12-2017,3.71,10.43,79.8,26.01,9.99,13.1,10.68,19.69,58.21,2.31
25-12-2017,4.58,8.82,61.55,18.8,8.37,33.89,9.98,6.88,28.68,2.33
26-12-2017,7.62,14.75,46.41,30.87,8.2,21.98,9.83,16.37,53.78,2.21
27-12-2017,6.4,10.49,58.71,41.47,6.1,33.79,5.65,15.87,51.83,1.83
