Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram,Jaipur,Thiruvananthapuram
16-11-2017,34.31,25.78,62.01,29.43,43.11,28.26,81.71,7.81
17-11-2017,37.48,29.76,47.92,37.44,37.36,20.93,62.68,7.73
18-11-2017,19.28,19.58,37.68,42.82,37.79,27.6,54.05,7.65
19-11-2017,15.11,16.62,47.8,40.77,39.81,45.13,72.81,7.67
20-11-2017,17.27,11.44,54.08,58.37,42.8,40.78,55.8,7.82
21-11-2017,3.14,9.64,57.13,69.72,40.93,36.67,51.15,7.75
22-11-2017,15.6,26.93,57.6,61.73,51,31.75,50.67,7.81
23-11-2017,28.57,33.97,54.34,54.78,39.92,29.15,55.99,7.76
24-11-2017,29.13,27.26,54.02,52.9,60.26,25.78,37.61,7.84
25-11-2017,38.5,45.01,48.1,54.83,68.38,25.51,35.21,7.79
26-11-2017,35.73,29.54,44.82,64.86,52.91,24.71,34.9,7.78
27-11-2017,24.36,19.64,41.09,65.26,55.76,27.3,28.37,7.8
28-11-2017,22.54,25.07,34.78,51.4,56.56,18.35,54.08,7.76
29-11-2017,23.71,26.94,40.91,34.01,67.32,16.65,51.65,7.9
30-11-2017,19.73,17.88,44.4,31.53,60.26,23.29,64.74,7.97
01-12-2017,4.11,34.83,31.62,29.09,59.62,23.16,119.81,7.89
02-12-2017,4.61,42.02,36.62,31.63,65.3,16.78,114.76,7.88
03-12-2017,8.9,31.4,37.61,29.46,63.84,21.42,87.04,7.84
04-12-2017,24.47,26.7,32.64,27.96,67.63,18.03,66.54,7.76
05-12-2017,12.45,30.04,50.69,29.49,60.14,14.37,90.16,7.8
06-12-2017,15.95,40.77,43.68,44.14,48.64,20.02,78.4,7.84
07-12-2017,17.7,40.88,41.43,43.58,48.33,25.39,65.1,7.88
08-12-2017,19.45,47.78,50.26,51.29,61.72,32.23,69.44,7.82
09-12-2017,21.2,38.98,68.58,38.22,59.43,25.82,52.89,8.03
10-12-2017,22.96,45.45,90.07,27.02,39.78,25.97,76.32,8.07
11-12-2017,24.71,55,66.07,28.25,44.73,15.43,83.65,8.27
12-12-2017,26.46,28.49,38.75,22.08,54.6,19.68,32.27,8.18
13-12-2017,28.21,19.15,46.28,29.12,48.7,22.45,28.16,7.63
14-12-2017,29.96,15.41,42.19,25.2,48.56,25.8,50.24,7.55
15-12-2017,31.71,27.65,38.04,24.85,42.62,28.07,49.86,7.55
16-12-2017,33.46,52.58,23.98,32.47,42.31,29.34,54.35,10.52
17-12-2017,35.21,68.71,36.4,37.52,46.91,36.66,48.42,7.27
18-12-2017,36.96,66.46,45.37,29.55,56.42,51.86,53.42,8.78
19-12-2017,38.71,61.01,49.68,22.79,45.37,33.28,29.52,22.21
20-12-2017,40.46,35.3,67.35,25.31,43,14.9,20.26,15.67
21-12-2017,42.21,25.9,66.06,49.22,51.64,28.5,43.46,21.79
22-12-2017,43.97,24.92,48.84,80.06,50.01,31.67,56.18,34.32
23-12-2017,45.72,25.37,43.85,77.57,57.5,42.28,43.65,34.25
24-12-2017,47.47,25.72,59.85,64.36,47.69,28.04,51.36,39.37
25-12-2017,49.24,24.74,56.1,61.54,38.5,27.11,42.49,37.88
26-12-2017,50.97,37.33,38.93,63.43,53.45,31.21,45.58,41.78
27-12-2017,51.85,58.63,58.98,64.21,47.38,21.64,42.85,41.2
28-12-2017,52.72,38.43,66,51.08,47.22,21.84,38.57,39.1
29-12-2017,17.18,35.45,61.36,39.17,49.58,22.99,54.47,29.28
30-12-2017,33.48,19.64,61.73,28.32,41.64,24.92,70.86,41.68
31-12-2017,32.36,26.74,76.45,49.5,39.55,18.47,59.4,42.77
01-01-2018,25.89,28.82,68.75,60.19,38.93,19.58,48.42,46.69
02-01-2018,24.78,17.19,68.68,50.44,51.26,17.54,48.92,44.93
03-01-2018,35.27,26.41,54.94,42.66,56.84,16.49,28.61,67.08
04-01-2018,46.62,40.16,66.31,30.7,58.03,18.69,34.35,48.75
05-01-2018,51.89,31.36,48.57,15.74,52.74,19.16,44.31,46.77
06-01-2018,59.57,42.57,39.65,27.13,47.04,19.47,33.02,63.19
07-01-2018,62.13,50.15,57.39,25.4,50.17,24.91,32.07,59.76
08-01-2018,76.84,48.76,54.55,25.25,52.61,27.37,39.68,55.21
09-01-2018,70.18,50.51,66.79,22.39,57.35,26.25,60.8,40.89
10-01-2018,54.29,18.73,58.51,27.65,56.34,33.08,42.16,35.72
11-01-2018,37.03,26.63,56.22,32.01,55.98,40.11,43.99,39
12-01-2018,48.6,31.97,62.37,17.78,52.03,28.86,43.56,69.77
13-01-2018,47.39,20.49,75.14,22.37,49.6,24.53,30.72,35.78
14-01-2018,53.1,28.71,64.8,26.75,48.64,26.16,49.59,56.36
15-01-2018,66.4,40.6,59.73,29.12,50.02,34.78,35.43,49.1
16-01-2018,59.88,42.88,54,39.04,43.58,41.55,53.28,17.45
17-01-2018,64.8,33.83,64.1,16.64,45.85,25.9,77.47,85.18
18-01-2018,65.34,44.7,72.89,27.45,37.53,22.37,56.89,71.98
19-01-2018,71.99,52.91,73.6,22.2,38.71,24.74,52.2,55.7
20-01-2018,80.04,51.59,43.18,24.45,45.46,31.66,70.72,71.96
21-01-2018,81.55,57.39,41.49,36.88,44.16,26.22,51.67,83.6
22-01-2018,77.88,40.29,68.33,33.49,52.29,30.88,80.44,82.67
23-01-2018,60.85,38.16,48.67,26.45,47.74,23.25,63.97,72.01
24-01-2018,43.36,28.97,42.04,28.72,45.11,14.67,68.73,61.27
25-01-2018,56.22,37.25,43.99,20.9,45.4,15.29,46.15,33.61
26-01-2018,63.78,51.81,44.09,42.45,52.7,14.25,43.38,32.93
27-01-2018,61.21,40.58,56.12,57.25,52.9,21.91,63.56,49.57
28-01-2018,62.46,53.46,54.01,55.88,48.76,15.62,64.12,35.46
29-01-2018,55.34,56.87,60.56,59.69,50.19,19.58,78.61,50.39
30-01-2018,56.31,52.14,56.85,66.28,51.92,22.04,40.81,52.8
31-01-2018,52.6,49.48,53.7,71.36,40.67,26.68,50.29,63.42
01-02-2018,41.2,37.94,60.7,61.06,36.26,18.05,30.7,51.89
02-02-2018,49.36,45.96,52.12,62.13,36.32,20.04,42.92,62.62
03-02-2018,46.48,32.07,52.29,56.21,50.3,26.56,77.78,68.96
04-02-2018,42.53,40.93,52.23,59.09,54.21,33.25,86.54,73.09
05-02-2018,40.8,34.94,43.11,71.31,56.47,17.54,73.03,61.4
06-02-2018,40.51,20.1,41.11,59.51,36.51,15.55,65.91,52.53
07-02-2018,25.11,16.92,49.34,46.54,39.53,19.19,54.31,47.85
08-02-2018,27.4,20.76,45.91,42.86,34.55,14.92,69.47,36.32
09-02-2018,30.91,14.02,49.11,40.36,35.92,19.09,60.7,51.88
10-02-2018,25.27,29.6,53.31,32.64,29.39,15.98,94.86,45.62
11-02-2018,38.11,22.69,43.54,17.54,34.88,15.6,102.21,38.89
12-02-2018,32.61,28.55,37.47,22.29,38.74,22.96,65.26,46.7
13-02-2018,44.28,27.95,38.83,23.1,44.34,37.9,63.08,48.7
14-02-2018,38.23,40.05,38.43,25.01,46.28,57.6,65.17,50.03
15-02-2018,35.76,40.81,40.95,28,46.88,96.25,45.86,49.33
16-02-2018,36.38,38.51,38.4,30.65,41.68,80.2,46.16,54.5
17-02-2018,43.4,42.39,44.13,29.86,39.46,84.97,38.36,56.25
18-02-2018,49.17,47.51,45.75,25.56,47.42,82.77,60.49,68.39
19-02-2018,51.46,33.17,49.74,30.61,53.02,35.7,89.57,68.23
20-02-2018,55.88,35.85,51.27,28.9,50.85,39.5,69.73,61.85
21-02-2018,52.95,28.4,57.47,25.85,47.88,43.31,38.47,55.37
22-02-2018,52.15,26.36,47.69,23.8,46.5,47.11,39.8,63.23
23-02-2018,52.09,23.75,48.62,21.08,48.94,50.92,39.47,55.44
24-02-2018,35.76,23.03,55.26,42.51,45.22,54.72,40.12,55.15
25-02-2018,37.55,20.43,43.87,94.71,33.06,58.52,63.51,55.315
26-02-2018,30.2,24.98,43.19,87.92,40.48,62.33,53.56,55.48
27-02-2018,32.51,45.08,40.51,89.05,40.86,66.13,51.77,45
28-02-2018,31.63,32.1,46.16,98.61,41.99,69.94,81.28,49.22
01-03-2018,36.47,50.02,40.69,94.98,37.91,73.74,81.47,40.94
02-03-2018,45.24,40.18,45.55,98.26,43.91,88.2,56.37,44.56
03-03-2018,43.82,50.51,38.38,88.2,53.05,78.94,56.2,55.98
04-03-2018,44.8,33.49,34.95,77.14,50.33,68.28,58.18,62.81
05-03-2018,36.83,24.97,40.45,59.88,48.64,59.01,68.26,53.78
06-03-2018,33.61,26.86,44.99,61.54,56.45,81.88,61.55,50.74
07-03-2018,46.63,33.84,45.24,61.47,53.66,82.67,45.88,51.6
08-03-2018,40.31,33.49,57.76,42.5,45.08,85.47,60.92,47.42
09-03-2018,40.87,39.55,52.43,40.57,45.57,83.67,66.18,51.29
10-03-2018,33.03,33.76,41.74,38.13,50.9,74.93,91.2,59.25
11-03-2018,45.61,45.47,46.28,30.69,57.23,94.86,74.52,77.58
12-03-2018,38.92,17.77,44.49,36.22,44.39,85.33,62.44,41.66
13-03-2018,20.48,18.79,43.79,34.42,42.72,82.93,45.99,27.62
14-03-2018,38.25,14.83,48.03,25.22,49.57,84.76,24.9,29.59
15-03-2018,26.5,13.35,37.77,22.33,48.41,62.35,34.09,29.45
16-03-2018,23.65,14.79,43.04,36.08,43.99,81.13,60.08,28.14
17-03-2018,26.48,19.13,37.89,38.68,47.12,82.7,74.39,33.22
18-03-2018,20.61,26.31,45.83,47.83,37.7,47.61,84.96,33.06
19-03-2018,50.57,24.22,44.89,48.96,48.04,45.17,81.08,31.39
20-03-2018,46.5,21.59,51.95,39.03,47.14,51.7,50.35,42.72
21-03-2018,53.46,21.6,52.82,24.86,45.92,50.95,48.83,40.37
22-03-2018,34.26,28.59,45.99,32.86,32.33,58.44,71.21,42.66
23-03-2018,32.05,32.94,46.6,46.94,36.12,68.66,69.35,38.36
24-03-2018,58.64,37.83,50.02,51.96,39.62,71.22,53.65,33.2
25-03-2018,54.78,25.78,54.47,51.79,43.09,77.31,62.13,41.53
26-03-2018,64.14,21.06,52.72,51.08,44.76,73.81,42.88,54.65
27-03-2018,73.5,12.2,49.55,49.84,50.92,57.27,31.33,46.2
28-03-2018,73.18,14.1,57.85,33.71,51.24,58.31,43.54,24.33
29-03-2018,72.87,20.3,57.43,37.69,48.28,21.45,76.41,35.77
30-03-2018,72.57,31.36,58.75,34.3,45.56,18.33,66.68,43.01
31-03-2018,72.27,52.63,67.56,37.38,49.61,14.95,87.17,41.97
01-04-2018,71.97,62.76,68.76,32.79,48.2,14.64,100.86,42.71
02-04-2018,71.66,46.55,64.33,29.27,44,16.42,98.23,42.65
03-04-2018,71.36,38.27,67.6,29.04,41,15.76,91.4,60
04-04-2018,71.06,55.15,65.46,38.72,50.85,15.85,44.35,56.52
05-04-2018,70.75,56.64,64.73,36.67,43.49,17.55,70.08,43.56
06-04-2018,70.45,46.24,54.04,32.04,46.02,17.84,97.55,55.6
07-04-2018,70.15,42.24,54.42,30.18,49,13.89,93.05,67.81
08-04-2018,69.84,46.15,56.29,27.04,44.24,11.54,104.05,51.95
09-04-2018,69.54,53.25,42.76,24.52,47.22,10.69,98.39,52.8
10-04-2018,69.24,23.9,60.94,29.03,37.75,12.04,80.06,36.52
11-04-2018,68.94,26.55,46.34,30.1,31.17,11.33,70.35,62.71
12-04-2018,68.63,20.72,48.2,33.5,38.29,12.83,59.07,33.77
13-04-2018,68.33,16.83,47.74,39.79,38.8,13.9,43.98,28.84
14-04-2018,68.03,23.02,47.69,39.31,40.13,17.01,65.62,36.91
15-04-2018,67.72,24.7,53.47,36.2,27.82,12.71,60.73,33.24
16-04-2018,67.42,23.77,55.85,28.24,36.09,13.16,37.98,35.33
17-04-2018,67.12,24.69,49.19,36.52,41.82,10.41,40.94,29.03
18-04-2018,66.82,24.28,51.01,38.64,45.82,17.87833333,59.38,32.06
19-04-2018,66.52,28.49,53.3,39.54,39.18,25.34666667,45.28,34.88
20-04-2018,66.22,31.08,48.98,25.02,37.27,32.815,45.52,34.04
21-04-2018,74.47666667,34.68,61.05,36.23,31.15,40.28333333,66.89,42.16
22-04-2018,82.73333333,32.97,60.81,52,43.31,47.75166667,70.82,37.8
23-04-2018,90.99,31.38,63.78,56.54,49.31,55.22,71.61,43.28
24-04-2018,55.89,27.93,59.45,48.87,51.74,38.39,49.49,39.92
25-04-2018,49.01,27.55,48.81,39.88,53.56,33.58,42.43,44.63
26-04-2018,46.4,29.81,65.07,41.64,52.61,15.75,46.37,45.22
27-04-2018,53.72,22.95,69.49,42.34,52.49,23.68,42.32,44.64
28-04-2018,40.12,15.65,75.5,41.36,46.38,29.18666667,39.32,38.39
29-04-2018,45.33,25.58,69.07,43,49.28,34.69333333,68.36,40.11
30-04-2018,46.3,29.47,60.39,45.07,44.31,40.2,52.55,42.29
01-05-2018,48.92,41.65,65.54,36.99,45.47,30.91,51.24,41.94
02-05-2018,41.52,57.07,64.55,39.69,48.88,29.73,56,43.25
03-05-2018,46.69,45.4,50.16,31.22,48.87,23.55,85.36,51.25
04-05-2018,45.87,40.29,59.09,33.33,50.95,32.58,101.61,55.05
05-05-2018,38.61,24.41,59.48,37.24,51.31,29.43,111.96,58.65
06-05-2018,44.38,30.79,57.57,44.38,47.6,18.77,94.99,38.56
07-05-2018,36.48,45.6,57.48,48.53,51.78,17.42,84.84,35.64
08-05-2018,32.43,23.39,61.42,38.59,46.9,25.42,90.6,33.45
09-05-2018,52.6,30.84,53.1,48.9,43.87,24.76,87.99,34.32
10-05-2018,41.46,23.49,57.78,52.12,45.59,28.8,83.94,30.24
11-05-2018,24.19,23.89,65.24,69.55,50.78,27.12,69.54,27.94
12-05-2018,39.45,17.65,67.9,42.32,50.32,36.24,55.5,27.47
13-05-2018,46.78,26.54,67.88,39.41,61.46,30.11,47.12,34.91
14-05-2018,37.5,34.08,56.2,39.44,56.79,31.38,70.44,40.44
15-05-2018,44.59,33.99,62.52,32,51.51,31.58,56.62,41.88
16-05-2018,29.15,17.05,54.41,35.11,48.44,23.65,68.29,39.76
17-05-2018,41.75,19.95,70.39,40.03,39.03,28.44,75.99,34.53
18-05-2018,35.22,44.79,58.67,39.78,45.12,33.79,74.15,31.18
19-05-2018,42.52,48.23,57.66,52.35,46.38,19.13,98.27,29.52
20-05-2018,47.98,26.21,55.77,54.71,62.1,22.31,93.77,30.25
21-05-2018,36.12,29.4,60.27,57.07,59.66,24.93,106.57,35.44
22-05-2018,41.2,43.92,59.41,59.43,56.37,27.7,91.18,43.48
23-05-2018,30.74,33.92,59.46,39.26,52.86,47.92,73.61,46.45
24-05-2018,34.78,33.21,53.43,19.04,47.17,33.9,101.63,41.31
25-05-2018,27.78,24.94,48.95,36.92,55.12,19.88,74.21,53.64
26-05-2018,22.59,38.06,49.85,74.57,36.5,22.34,71.11,54.81
27-05-2018,19.04,51.17,56.75,49.39,49.07,19.37,75.28,56.46
28-05-2018,30.76,43.95,59.11,124.7,45.6,41.57,77.68,50.82
29-05-2018,27.82,39.32,59.1,135.66,46.07,36.16,80.15,43.54
30-05-2018,23.37,43.58,59.9,106.26,44.57,37.31,48.49,40.51
31-05-2018,21.01,50.16,50.6,76.86,45.54,27.83,61.73,32.53
01-06-2018,24.28,43,58.87,74.77,52.89,40.98,53.89,26.52
02-06-2018,23.96,43.99,60.12,7.48,35.35,47.83,61.13,28.29
03-06-2018,16.46,47.96,57.87,8.51,44.34,44.26,52.37,30.1
04-06-2018,15.51,42.95,57.03,9.83,57.7,43.96,41.93,29.15
05-06-2018,16.54,34.07,48.46,13.17,48.4,40.79,70.1,24.34
06-06-2018,12.58,24.65,48.47,13.16,47.76,32.66,94.49,26.6
07-06-2018,13.22,27.19,60.18,11.79,47.94,37.78,77.34,20.39
08-06-2018,11.05,25.31,54.22,9.48,40.15,47.58,35.54,26.3
09-06-2018,15.82,32.32,41.95,10.32,33.8,32.4,30.99,28.03
10-06-2018,12.71,33.45,45.16,11.82,22.52,25.9,49.77,23.88
11-06-2018,10.74,23.99,46.66,19.91,18.82,35.87,50.65,24.69
12-06-2018,13.91,25.17,37.85,22.67,17.16,22.91,39.2,24.44
13-06-2018,12.97,26.51,27.45,18.83,19.6,21.26,38.38,25.84
14-06-2018,16.41,23.98,43.38,16.96,17.53,24.58,47.67,28.12
15-06-2018,18.53,31.37,40.15,14.06,20.79,25.87,50.32,28.01
16-06-2018,13.77,28.32,45.76,12.78,22,22.69,47.06,27.71
17-06-2018,8.71,32.73,44.56,14.93,19.71,32.94,42.86,20.83
18-06-2018,11.02,29.86,46.41,15.71,19.88,38.3,53.41,24.01
19-06-2018,14.71,25.66,53.39,14.85,23.9,47.44,62.32,20.66
20-06-2018,21.95,15.15,60.2,18.51,27.49,43.45,61.32,25.56
21-06-2018,25.83,25.05,66.75,21.68,27.79,65.28,65.73,28.31
22-06-2018,26.92,27.11,64.38,25.46,25.78,58.19,60.59,30.81
23-06-2018,17.71,31.31,66.18,30.78,23.59,57.77,61.66,27.3
24-06-2018,15.09,31.74,59.17,29.73,19.13,40.94,62.2,29
25-06-2018,14.73,27.59,39.06,28.16,17.31,29.65,58.03,25.78
26-06-2018,18.29,31.3,33.09,27.6,17.5,20.82,51.49,24.74
27-06-2018,16.43,25.83,44.04,19.32,15.07,42.95,23.74,22.35
28-06-2018,15.6,29.89,33.17,21.49,17.65,26.08,41.04,26.13
29-06-2018,17.84,30.33,31.43,21.56,23.37,21.58,30.16,29.35
30-06-2018,10.67,40.22,31.21,27.47,22,20.93,34.25,35.28
01-07-2018,11.29,35.33,28.09,67.47,25.21,24.7,28.59,33.36
02-07-2018,16.14,36.67,33.79,52.09,23.96,22.89,29.6,32.83
03-07-2018,16.04,25.71,39.78,49.14,22.53,28.91,31.25,30.42
04-07-2018,14.42,23.34,45.71,52.85,21.98,30.06,34.1,28.5
05-07-2018,15.83,18.21,41.14,41.84,20.08,26.33,32.81,28.1
06-07-2018,15.59,13.72,40.01,40.88,18.73,33.35,49.06,31.54
07-07-2018,18.73,16.05,53.82,45.35,18.53,43.61,56.81,29.99
08-07-2018,16.35,23.4,65.27,57.16,20.17,40.61,57.03,29.37
09-07-2018,13.71,19.44,54.8,47.74,18.43,36,59.01,29.82
10-07-2018,14.05,17.08,43.89,44.21,16.26,29.89,56.39,27.51
11-07-2018,14.5,13.87,34.6,57.39,19.91,27.5,37.09,30.21
12-07-2018,15.79,11.27,45.16,44.56,20.46,28.76,32.42,28.53
13-07-2018,18.07,13.4,26.96,45.58,15.7,22.25,29.86,26.85
14-07-2018,16.19,15.14,29.2,54.31,15.88,30.65,32.24,27.58
15-07-2018,17.01,15.06,28.01,53.59,21.52,25.44,31.86,28.42
16-07-2018,13.25,16.12,23.59,50.48,16.13,21.33,33.6,31.16
17-07-2018,18.52,20.24,31.96,30.64,14.86,25.31,33.19,34.97
18-07-2018,17.83,22.81,32.43,22.34,13.58,29.14,32.39,35.13
19-07-2018,18.19,16.08,31.96,18.59,14.75,24.94,29.67,33.87
20-07-2018,22.36,18.83,24.18,15.08,13.12,26.85,29.51,34.64
21-07-2018,21.97,18.61,32.23,13.76,15.35,27.51,23.64,34.21
22-07-2018,21.53,21.63,24.91,10.97,14.36,18.23,20.56,34.36
23-07-2018,15.16,18.07,26.11,8.76,15.37,17.47,22.8,32.27
24-07-2018,13.77,19.22,34.46,11.42,15.58,40.1,23.79,30.19
25-07-2018,12.29,14.35,21.39,12.88,16.66,15.22,20.22,30.52
26-07-2018,13.43,16.83,18.6,10.88,16.19,15.08,18.44,27.3
27-07-2018,15.22,17.6,19.82,13.84,17.72,16.21,25.3,30.17
28-07-2018,16.19,22.09,24.11,13.61,18.44,20.04,19.37,30.96
29-07-2018,15.94,24.44,26.19,12.36,16.26,20.81,18.87,30.49
30-07-2018,14.61,22,28.09,12.74,17.7,20.75,19.16,28.73
31-07-2018,15.43,17.29,27.81,38.62,17.22,18.83,28.43,27.66
01-08-2018,14.61,12.09,29.94,19.64,16.38,18.01,47.11,24.5
02-08-2018,15.23,21.72,29.3,22.6,13.63,17.7,52.35,29.3
03-08-2018,12.05,25.99,28.1,11.97,15.42,15.7,41.62,26.01
04-08-2018,12.14,20.97,29.61,11.71,16.46,16.8,36.23,27.58
05-08-2018,13.44,18.82,25.4,10.78,16.05,16.13,34.4,29.14
06-08-2018,14.22,17.12,27.42,12.7,16.55,25.39,31.14,27.11
07-08-2018,13.14,15.24,32.06,19.71,13.97,21.61,32.71,30.42
08-08-2018,11.18,18.57,31.12,16.2,13.81,18.05,31.31,30.15
09-08-2018,13.65,10.56,34.11,16.25,12.64,22.17,36.08,29.02
10-08-2018,11.75,13.72,31.83,15.47,14.98,16.42,27.59,30.69
11-08-2018,11.75,9.61,27.66,16.01,11.86,18.74,24.11,31.29
12-08-2018,12.48,9.08,23.92,7.65,14.52,14.74,25.35,30.56
13-08-2018,11.69,13.44,27.7,14.01,13.69,18.7,33.16,28.25
14-08-2018,11.02,10.41,32.47,22.36,10.2,15.67,30.22,30.65
15-08-2018,11.1,11,34.04,6.79,11.99,17.99,25.3,20.32
16-08-2018,15.54,16.84,31.87,7.37,15.01,14.45,26.32,32.6
17-08-2018,14.21,9.03,30.62,6.19,18.05,22.69,33.85,27.92
18-08-2018,14.37,10.1,30.9,5.23,18.6,22.53,37.38,31.71
