Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram
2015-04-23,15.88,27.59,76.14,29.22,37.94,
2015-04-24,109.66,27.91,89.42,26.23,42.52,
2015-04-25,157.2,,93.54,19.56,51.44,
2015-04-26,123.32,,77.43,21.32,45.375,
2015-04-27,65.38,,70.74,25.28,39.31,
2015-04-28,57.59,,70.42,23.73,39.74,
2015-04-29,27.11,,61.86,25.91,38.94,
2015-04-30,51.81,,60.18,26.25,52.57,
2015-05-01,26.93,,53.16,16.26,38.94,
2015-05-02,16.83,,43.06,32.57,48.14,
2015-05-03,17.81,11.32,41.71,39.37,46.87,
2015-05-04,21.39,11.91,37.7,31.8,42.93,
2015-05-05,36.56,17.11,50.27,15.89,50.1,
2015-05-06,80.02,19.53,92.66,19.7,51.13,
2015-05-07,31.73,23.77,75.6,43.82,32.89,
2015-05-08,88.24,31.3,74.84,42.55,39.26,
2015-05-09,39.61,28.72,76.38,48.76,43.05,
2015-05-10,32.11,20.45,67.97,41.08,42.66,
2015-05-11,14.0,21.28,87.93,47.42,28.16,
2015-05-12,15.17,22.25,83.43,49.44,33.0,
2015-05-13,7.96,23.81,55.62,39.97,19.97,
2015-05-14,12.14,24.4,57.1,44.04,22.67,
2015-05-15,12.14,25.08,77.87,59.35,16.09,
2015-05-16,8.48,24.75,73.24,57.8,20.62,
2015-05-17,21.44,25.84,70.29,53.5,33.49,
2015-05-18,32.76,26.06,79.02,62.24,40.72,
2015-05-19,37.13,26.21,79.55,57.99,39.48,
2015-05-20,36.42,24.28,57.17,21.09,36.86,
2015-05-21,25.96,39.53,42.61,17.09,45.08,
2015-05-22,28.02,40.22,64.34,24.44,36.66,
2015-05-23,22.59,40.41,66.63,29.18,39.2,
2015-05-24,23.52,26.44,60.08,28.93,29.71,
2015-05-25,21.85,40.59,95.72,29.77,29.88,
2015-05-26,23.36,40.91,79.4,29.3,32.89,
2015-05-27,27.83,43.83,80.71,30.02,39.2,
2015-05-28,42.06,52.84,83.33,28.75,44.57,
2015-05-29,31.65,44.51,76.1,28.77,44.58,
2015-05-30,54.35,52.73,69.95,27.8,46.28,
2015-05-31,22.32,48.19,87.47,29.71,50.6,
2015-06-01,68.17,46.7,72.89,39.34,48.34,
2015-06-02,54.65,47.98,56.2,43.93,37.95,
2015-06-03,46.8,50.59,41.92,43.95,42.6,
2015-06-04,29.64,42.62,63.0,43.57,49.06,
2015-06-05,27.39,40.96,52.03,43.72,43.08,
2015-06-06,20.75,46.33,37.09,44.27,41.62,
2015-06-07,19.63,46.1,88.63,39.97,22.47,
2015-06-08,17.13,43.28,86.2,41.26,23.72,
2015-06-09,20.96,44.62,58.0,41.7,18.8,
2015-06-10,24.49,49.07,56.84,42.61,24.68,
2015-06-11,15.75,50.75,138.5,44.75,24.27,
2015-06-12,20.52,43.42,68.6,53.5,20.85,
2015-06-13,19.08,45.84,53.02,55.64,16.93,
2015-06-14,20.38,46.63,60.88,55.76,9.61,
2015-06-15,34.42,37.5,86.86,54.35,15.04,
2015-06-16,13.24,39.99,82.42,56.31,15.78,
2015-06-17,13.5,35.97,74.01,57.49,15.3,
2015-06-18,16.42,36.51,87.24,57.06,15.7,
2015-06-19,11.12,36.11,76.58,60.81,17.3,
2015-06-20,8.62,37.1,69.37,57.42,15.62,
2015-06-21,10.31,41.28,52.78,56.98,9.46,
2015-06-22,10.68,38.85,59.49,56.85,15.55,
2015-06-23,10.97,33.71,77.04,56.85,15.72,
2015-06-24,21.62,38.65,83.13,57.24,16.44,
2015-06-25,11.83,42.65,46.7,45.13,16.51,
2015-06-26,13.27,36.46,60.99,24.84,15.3,
2015-06-27,15.2,33.37,53.19,24.37,15.64,
2015-06-28,15.42,28.86,58.34,24.63,21.59,
2015-06-29,10.29,32.23,52.21,24.55,12.32,
2015-06-30,6.61,33.71,58.33,24.65,16.23,
2015-07-01,6.45,32.66,61.42,24.12,21.08,
2015-07-02,11.01,33.28,61.7,23.83,15.48,
2015-07-03,8.37,30.81,59.66,25.73,23.39,
2015-07-04,9.72,29.69,56.61,25.9,24.33,
2015-07-05,7.89,30.78,58.36,25.57,22.7,
2015-07-06,8.96,28.04,58.07,25.93,20.65,
2015-07-07,9.3,30.14,53.72,26.08,14.79,
2015-07-08,7.27,28.23,53.94,25.11,14.69,
2015-07-09,7.56,40.63,42.58,24.07,16.3,
2015-07-10,5.4,36.19,35.79,24.9,17.02,
2015-07-11,5.06,31.75,54.03,25.25,16.06,
2015-07-12,9.66,33.56,40.41,32.18,17.01,
2015-07-13,10.42,36.38,37.7,39.11,20.17,
