Date,DL002,DL031,KA009
2015-07-15,63.07,16.14,6.08
2015-07-16,51.77,14.34,10.88
2015-07-17,53.16,31.88,9.89
2015-07-18,50.67,23.7,11.23
2015-07-19,49.57,41.99,10.88
2015-07-20,82.1,31.46,10.46
2015-07-21,58.83,27.7,10.76
2015-07-22,51.07,29.1,9.67
2015-07-23,41.62,27.9,10.06
2015-07-24,37.65,32.14,9.15
2015-07-25,36.76,33.24,10.06
2015-07-26,32.36,30.28,8.39
2015-07-27,32.22,23.38,8.42
2015-07-28,38.39,21.2,9.14
2015-07-29,39.63,19.56,29.6
2015-07-30,35.06,23.21,11.73
2015-07-31,29.93,19.51,11.91
2015-08-01,27.35,19.58,10.3
2015-08-02,30.67,21.15,9.26
2015-08-03,48.91,24.08,10.08
2015-08-04,38.16,26.29,10.75
2015-08-05,48.23,27.82,10.66
2015-08-06,41.1,37.92,33.49
2015-08-07,45.34,32.01,26.16
2015-08-08,51.07,37.63,23.31
2015-08-09,35.16,30.94,18.3
2015-08-10,39.73,27.84,23.95
2015-08-11,50.44,39.63,24.12
2015-08-12,51.29,32.16,22.52
2015-08-13,41.32,41.43,22.0
2015-08-14,45.83,40.71,23.64
2015-08-15,35.71,32.82,18.87
2015-08-16,37.8,28.6,23.05
2015-08-17,28.52,28.14,50.58
2015-08-18,31.56,33.3,38.79
2015-08-19,25.01,22.85,39.19
2015-08-20,19.84,17.4,30.68
2015-08-21,20.87,19.52,33.06
2015-08-22,47.1,25.34,24.16
2015-08-23,20.94,26.23,23.28
2015-08-24,24.14,20.68,27.77
2015-08-25,24.01,21.17,17.67
2015-08-26,19.38,21.79,15.18
2015-08-27,31.39,25.86,35.39
2015-08-28,44.64,33.54,26.37
2015-08-29,42.17,27.18,33.75
2015-08-30,30.55,28.18,26.46
2015-08-31,25.01,20.19,33.9
2015-09-01,20.63,18.72,33.29
2015-09-02,22.54,16.55,26.12
2015-09-03,22.63,16.33,31.79
2015-09-04,30.76,20.6,37.51
2015-09-05,34.98,28.02,54.9
2015-09-06,25.02,24.475,26.75
2015-09-07,24.76,20.93,32.04
2015-09-08,29.18,30.52,37.31
2015-09-09,23.18,22.44,36.19
2015-09-10,24.17,25.28,36.3
2015-09-11,29.01,29.87,34.24
2015-09-12,35.18,41.62,30.49
2015-09-13,34.72,41.34,21.98
2015-09-14,37.76,45.59,31.7
2015-09-15,38.71,43.76,23.78
2015-09-16,42.5,46.22,24.19
2015-09-17,49.01,44.26,19.64
2015-09-18,43.28,35.28,23.94
2015-09-19,50.17,37.84,24.56
2015-09-20,53.4,37.52,20.84
2015-09-21,37.46,20.21,36.84
2015-09-22,34.26,11.15,35.72
2015-09-23,28.17,9.8,37.81
2015-09-24,27.09,13.85,34.28
2015-09-25,40.0,22.31,30.44
2015-09-26,51.23,34.55,22.01
2015-09-27,49.94,25.25,45.07
2015-09-28,39.29,15.95,76.12
2015-09-29,35.32,23.13,41.39
2015-09-30,28.08,35.39,29.39
2015-10-01,30.89,33.92,30.38
2015-10-02,38.26,41.86,26.74
2015-10-03,39.12,33.76,19.73
2015-10-04,56.96,55.35,23.54
2015-10-05,72.05,48.32,31.01
2015-10-06,77.25,54.55,24.52
2015-10-07,55.88,56.98,24.3
2015-10-08,43.58,47.79,27.54
2015-10-09,44.76,36.16,26.87
2015-10-10,58.1,37.2,27.22
2015-10-11,66.61,35.51,33.5
2015-10-12,68.36,38.08,32.02
2015-10-13,58.59,40.14,38.88
2015-10-14,42.76,30.94,39.7
2015-10-15,50.39,33.03,44.56
2015-10-16,65.7,42.38,42.06
2015-10-17,57.27,39.695,27.48
2015-10-18,48.84,37.01,35.87
2015-10-19,46.65,43.49,21.37
2015-10-20,61.74,43.23,5.65
2015-10-21,53.88,43.26,20.88
2015-10-22,24.9,25.06,33.92
2015-10-23,36.99,33.49,33.78
2015-10-24,46.59,38.65,34.86
2015-10-25,38.62,38.25,29.89
2015-10-26,27.78,29.69,37.44
2015-10-27,31.35,37.15,51.9
2015-10-28,23.95,29.43,26.15
2015-10-29,21.7,33.56,44.06
2015-10-30,22.94,40.59,31.65
2015-10-31,25.815,50.05,49.74
2015-11-01,28.69,59.51,18.44
2015-11-02,27.45,70.82,23.29
2015-11-03,38.68,71.79,34.87
2015-11-04,79.45,77.35,27.02
2015-11-05,73.97,61.44,61.87
